instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered
1,2012-12-11,4,1,12,0,0,2,1,3,0.46,0.4545,0.77,0.4627,2,29
2,2012-12-11,4,1,12,1,0,2,1,1,0.42,0.4242,0.71,0.4478,1,7
3,2012-12-11,4,1,12,2,0,2,1,2,0.4,0.4091,0.66,0.3284,0,1
4,2012-12-11,4,1,12,3,0,2,1,3,0.36,0.3333,0.76,0.2836,0,3
5,2012-12-11,4,1,12,4,0,2,1,2,0.34,0.3182,0.76,0.2836,0,8
6,2012-12-11,4,1,12,5,0,2,1,3,0.34,0.303,0.71,0.3284,1,40
7,2012-12-11,4,1,12,6,0,2,1,2,0.34,0.303,0.71,0.2985,0,118
8,2012-12-11,4,1,12,7,0,2,1,1,0.34,0.303,0.66,0.4179,8,372
9,2012-12-11,4,1,12,8,0,2,1,2,0.34,0.303,0.61,0.2985,16,708
10,2012-12-11,4,1,12,9,0,2,1,1,0.34,0.303,0.61,0.3881,12,322
11,2012-12-11,4,1,12,10,0,2,1,1,0.36,0.3333,0.57,0.3284,12,142
12,2012-12-11,4,1,12,11,0,2,1,2,0.36,0.3333,0.53,0.3582,28,145
13,2012-12-11,4,1,12,12,0,2,1,2,0.36,0.3182,0.53,0.4478,13,213
14,2012-12-11,4,1,12,13,0,2,1,2,0.38,0.3939,0.5,0.2239,28,226
15,2012-12-11,4,1,12,14,0,2,1,2,0.38,0.3939,0.5,0.2239,19,185
16,2012-12-11,4,1,12,15,0,2,1,2,0.38,0.3939,0.5,0.2239,20,250
17,2012-12-11,4,1,12,16,0,2,1,2,0.38,0.3939,0.5,0.2239,24,334
18,2012-12-11,4,1,12,17,0,2,1,1,0.32,0.303,0.53,0.2239,21,580
19,2012-12-11,4,1,12,18,0,2,1,1,0.32,0.303,0.53,0.2239,23,523
20,2012-12-11,4,1,12,19,0,2,1,1,0.32,0.303,0.53,0.2239,21,412
21,2012-12-11,4,1,12,20,0,2,1,1,0.32,0.303,0.53,0.2239,9,248
22,2012-12-11,4,1,12,21,0,2,1,1,0.32,0.3182,0.53,0.194,14,193
